country,year,AvgTemperature,suicides/100k pop,HDI for year,gdp_per_capita ($),military_exp,warm/cold
Bulgaria,2013,11.936073059360723,134.16000000000003,0.7789999999999998,8057.000000000001,2.05639549706562,cold
Canada,1997,6.237503890445059,151.43000000000004,,23244.999999999996,1.6748020872592606,cold
Canada,1998,7.917590504822743,150.12,,22268.000000000004,1.7033003738699903,cold
Canada,1999,7.3974703899557674,158.44000000000003,,23571.999999999996,1.9220531205777596,cold
Canada,2000,6.383150902797266,139.00000000000003,0.8670000000000001,25589.000000000004,1.8873537833821095,cold
Canada,2001,7.083079900469997,137.43,,25164.999999999996,2.0739426080012398,cold
Canada,2002,6.253411580594681,137.73000000000002,,25569.999999999996,2.17514171475857,cold
Canada,2003,6.77022424070397,137.27,,29787.0,2.1020316167466992,cold
Canada,2004,6.611658841940538,131.66,,33786.99999999999,2.0522734680588304,cold
Canada,2005,7.223585644883278,133.84,0.8920000000000002,38218.0,1.98886432028757,cold
Canada,2006,7.299911160126231,126.42999999999999,,42566.0,1.9946526506196196,cold
Canada,2007,6.535510216756717,127.45,,46890.0,1.9043109555505795,cold
Canada,2008,6.573285714285713,127.59,,49041.0,1.8756885327840702,cold
Canada,2009,6.4112971898949676,130.66999999999996,,42933.0,2.0626875496590804,cold
Canada,2010,7.230733607997165,132.67000000000002,0.9030000000000001,49974.0,1.9074366626988004,cold
Canada,2011,7.025908537645621,125.02000000000001,0.9089999999999999,54841.00000000001,1.8341582748487502,cold
Canada,2012,7.340569994499465,127.87999999999998,0.9099999999999998,55347.0,1.8364517597559502,cold
Canada,2013,6.386541471048493,133.09,0.9119999999999998,55309.99999999999,1.8669437861429803,cold
Colombia,1997,13.461948249619484,52.76999999999999,,3106.0000000000005,0.0,cold
Colombia,1998,14.085014409221905,81.67999999999999,,2814.0,0.0,cold
Colombia,1999,13.363920099875171,84.10000000000001,,2419.0,0.0,cold
Colombia,2000,12.966818873668194,89.77999999999999,0.654,2755.0000000000005,0.0,cold
Colombia,2001,13.244658119658132,88.26999999999998,,2662.0,0.0,cold
Colombia,2002,13.789660493827165,81.38,,2613.0,0.0,cold
Colombia,2003,13.471915285451187,79.85000000000001,,2489.0,0.0,cold
Colombia,2004,13.110048573163338,84.25,,3033.0,0.0,cold
Colombia,2005,13.339269406392686,74.84,0.6789999999999999,3742.0000000000005,0.0,cold
Colombia,2006,13.244505494505484,78.41,,4095.0,0.0,cold
Colombia,2007,13.063513927150295,74.25000000000003,,5150.0,0.0,cold
Colombia,2008,12.902933832709115,74.22000000000001,,5970.999999999999,0.0,cold
Colombia,2009,13.610653235653247,73.83000000000001,,5643.0,0.0,cold
Colombia,2010,13.852054794520546,67.24000000000001,0.7059999999999998,6836.000000000001,0.0,cold
Colombia,2011,13.779756468797565,62.879999999999995,0.713,7884.999999999999,0.0,cold
Colombia,2012,13.53035822707953,66.45,0.715,8586.0,0.0,cold
Colombia,2013,13.800152207001522,63.529999999999994,0.7179999999999999,8730.999999999998,0.0,cold
Croatia,1997,11.01188271604939,313.7,,5546.000000000001,0.0,cold
Croatia,1998,11.305711610486895,344.30000000000007,,6015.0,0.0,cold
Croatia,1999,12.031833486378952,327.28000000000003,,5459.0,0.0,cold
Croatia,2000,13.252289377289381,322.75,0.7490000000000001,5288.0,0.0,cold
Croatia,2001,12.312024353120249,287.54,,5571.0,0.0,cold
Croatia,2002,12.641512345679017,304.12,,6372.999999999999,0.0,cold
Croatia,2003,12.47747336377474,281.68999999999994,,8202.0,0.0,cold
Croatia,2004,11.69292653309047,302.24,,9829.0,0.0,cold
Croatia,2005,11.24353120243532,269.56999999999994,0.7820000000000001,10722.0,0.0,cold
Croatia,2006,12.344748858447486,248.21999999999994,,11914.000000000002,0.0,cold
Croatia,2007,13.21272953625895,243.45000000000002,,14203.999999999998,0.0,cold
Croatia,2008,12.900335775335764,265.68999999999994,,16680.0,0.0,cold
Croatia,2009,12.914987789987782,254.29,,14872.000000000002,0.0,cold
Croatia,2010,11.787062404870612,241.97,0.8070000000000003,14232.0,0.0,cold
Croatia,2011,12.626331811263311,221.10999999999999,0.814,14890.000000000002,0.0,cold
Croatia,2012,13.090922890103224,239.01,0.8170000000000003,13951.999999999998,0.0,cold
Croatia,2013,12.427853881278542,210.29999999999995,0.8170000000000003,14362.000000000002,0.0,cold
Cyprus,1999,18.777046783625725,1.57,,12388.999999999998,2.733850969551609,warm
Cyprus,2000,22.670063948840934,8.36,0.7999999999999999,11635.000000000002,2.8220901513395407,warm
Cyprus,2004,22.751536643025982,9.169999999999998,,25227.0,1.9557691617926996,warm
Cyprus,2005,19.127549467275497,24.739999999999995,0.8300000000000002,26670.999999999996,2.03746974323698,warm
Cyprus,2006,19.07123287671232,27.639999999999997,,28599.999999999996,1.8999978625024003,warm
Cyprus,2007,19.54531346989448,36.17,,33048.0,1.6845996583175096,warm
Cyprus,2008,20.030745814307465,59.07000000000001,,37267.0,1.6297049444974505,warm
Cyprus,2009,20.570529513888886,55.53,,33816.0,1.8168195077902396,warm
Cyprus,2010,32.277777777777786,58.879999999999995,0.848,32477.000000000004,1.8578077435858498,warm
Czech Republic,1997,7.909436834094369,234.13000000000002,,6314.000000000001,1.66204579070562,cold
Czech Republic,1998,8.766543551862112,226.7,,6779.000000000001,1.8259318203535797,cold
Czech Republic,1999,8.850732600732606,236.93,,6606.0,1.8590699232123205,cold
Czech Republic,2000,9.489981785063762,226.64000000000001,0.8210000000000001,6278.000000000001,1.8773569561648709,cold
Czech Republic,2001,8.316742770167426,220.92000000000002,,6863.000000000001,1.75124955758828,cold
Czech Republic,2002,9.022160664819948,212.14999999999998,,8399.000000000002,1.82440696826275,cold
